serial,year,district,area,rent,pop_now,pop_prev,pop_2yr_ago,airbnb_now,airbnb_prev,airbnb_2yr_ago,airden_now,airden_prev,airden_2yr_ago,popden_now,popden_prev,popden_2yr_ago,adp_now,adp_prev,adp_2yr_ago
107,2020,Silivri,869.52,1335,200215,193680,187621,29,34,19,0.00014484,0.00017555,0.00010127,230,223,216,0.014484,0.017555,0.010127
108,2020,Sisli,34.8,2608,266793,279817,274289,"1,921","1,536",935,0.00720034,0.0054893,0.00340881,7666,8041,7882,0.720034,0.54893,0.340881
109,2020,Sultanbeyli,29.1,1434,343318,336021,327798,11,9,7,0.00003204,0.00002678,0.00002135,11798,11547,11265,0.003204,0.002678,0.002135
110,2020,Sultangazi,36.3,1416,537488,534565,523765,9,6,6,0.00001674,0.00001122,0.00001146,14807,14726,14429,0.001674,0.001122,0.001146
111,2020,Tuzla,123.63,1520,273608,267396,255459,52,38,22,0.00019005,0.00014211,0.00008612,2213,2163,2066,0.019005,0.014211,0.008612
112,2020,Umraniye,45.31,1670,713803,710280,690193,101,89,33,0.0001415,0.0001253,0.00004781,15754,15676,15233,0.01415,0.01253,0.004781
113,2020,Uskudar,35.33,1971,520771,531825,529145,199,219,163,0.00038213,0.00041179,0.00030804,14740,15053,14977,0.038213,0.041179,0.030804
114,2020,Zeytinburnu,11.59,2195,283657,293574,284935,64,53,34,0.00022562,0.00018053,0.00011933,24474,25330,24585,0.022562,0.018053,0.011933
115,2021,Arnavutkoy,506.55,2044,312023,296709,282488,40,33,21,0.0001282,0.00011122,0.00007434,616,586,558,0.01282,0.011122,0.007434
116,2021,Atasehir,25.2,4973,427217,422594,425094,197,194,174,0.00046112,0.00045907,0.00040932,16953,16770,16869,0.046112,0.045907,0.040932
117,2021,Avcilar,42.01,4150,457981,436897,448882,126,123,95,0.00027512,0.00028153,0.00021164,10902,10400,10685,0.027512,0.028153,0.021164
118,2021,Bagcilar,22.36,3279,744351,737206,745125,258,156,78,0.00034661,0.00021161,0.00010468,33289,32970,33324,0.034661,0.021161,0.010468
119,2021,Bahcelievler,16.62,3342,605300,592371,611059,119,68,80,0.0001966,0.00011479,0.00013092,36420,35642,36766,0.01966,0.011479,0.013092
120,2021,Bakirkoy,29.64,7446,228759,226229,229239,129,113,121,0.00056391,0.00049949,0.00052783,7718,7633,7734,0.056391,0.049949,0.052783
121,2021,Basaksehir,104.3,5060,503243,469924,460259,201,216,197,0.00039941,0.00045965,0.00042802,4825,4506,4413,0.039941,0.045965,0.042802
122,2021,Bayrampasa,9.61,2907,274884,269950,274735,15,7,8,0.00005457,0.00002593,0.00002912,28604,28091,28588,0.005457,0.002593,0.002912
123,2021,Besiktas,18.01,11305,178938,176513,182649,778,733,767,0.00434787,0.00415267,0.00419931,9935,9801,10142,0.434787,0.415267,0.419931
124,2021,Beykoz,310.36,5837,248595,246110,248260,75,52,50,0.0003017,0.00021129,0.0002014,801,793,800,0.03017,0.021129,0.02014
125,2021,Beylikduzu,37.78,4920,398122,365564,352412,86,74,62,0.00021601,0.00020243,0.00017593,10538,9676,9328,0.021601,0.020243,0.017593
126,2021,Beyoglu,8.91,6835,233322,226396,233323,"4,267","4,010","3,678",0.01828803,0.01771233,0.01576356,26187,25409,26187,1.828803,1.771233,1.576356
127,2021,Buyukcekmece,157.72,4066,269160,257362,254103,83,68,75,0.00030837,0.00026422,0.00029516,1707,1632,1611,0.030837,0.026422,0.029516
128,2021,Catalca,1040.38,2033,76131,74975,73718,18,15,9,0.00023643,0.00020007,0.00012209,73,72,71,0.023643,0.020007,0.012209
129,2021,Cekmekoy,148.16,2841,288585,273658,264508,20,22,17,0.0000693,0.00008039,0.00006427,1948,1847,1785,0.00693,0.008039,0.006427
130,2021,Esenler,18.43,2574,447116,446276,450344,6,5,7,0.00001342,0.0000112,0.00001554,24260,24215,24435,0.001342,0.00112,0.001554
131,2021,Esenyurt,43.13,3332,977489,957398,954579,472,482,342,0.00048287,0.00050345,0.00035827,22664,22198,22133,0.048287,0.050345,0.035827
132,2021,Eyupsultan,228.42,5812,417360,405845,400513,105,112,99,0.00025158,0.00027597,0.00024718,1827,1777,1753,0.025158,0.027597,0.024718
133,2021,Fatih,15.59,3464,382980,396584,443090,"1,311","1,184","1,117",0.00342316,0.0029855,0.00252093,24566,25438,28421,0.342316,0.29855,0.252093
134,2021,Gaziosmanpasa,11.76,4298,493096,487778,491962,71,49,41,0.00014399,0.00010046,0.00008334,41930,41478,41834,0.014399,0.010046,0.008334
135,2021,Gungoren,7.21,3269,283083,280299,289441,20,22,24,0.00007065,0.00007849,0.00008292,39263,38876,40144,0.007065,0.007849,0.008292
136,2021,Kadikoy,25.09,7327,485233,481983,482713,"1,003",826,815,0.00206705,0.00171375,0.00168837,19340,19210,19239,0.206705,0.171375,0.168837
137,2021,Kagithane,14.87,4042,454550,442415,448025,224,262,205,0.0004928,0.0005922,0.00045756,30568,29752,30129,0.04928,0.05922,0.045756
138,2021,Kartal,38.54,3597,480738,474514,470676,97,81,89,0.00020177,0.0001707,0.00018909,12474,12312,12213,0.020177,0.01707,0.018909
139,2021,Kucukcekmece,37.54,3855,805929,789632,792820,76,83,73,0.0000943,0.00010511,0.00009208,21469,21034,21119,0.00943,0.010511,0.009208
140,2021,Maltepe,52.97,4130,525566,515021,513316,145,130,137,0.00027589,0.00025242,0.00026689,9922,9723,9691,0.027589,0.025242,0.026689
141,2021,Pendik,179.99,2898,741895,726481,711894,98,83,64,0.00013209,0.00011425,0.0000899,4122,4036,3955,0.013209,0.011425,0.00899
142,2021,Sancaktepe,62.42,2830,474668,456861,436733,22,20,23,0.00004635,0.00004378,0.00005266,7604,7319,6997,0.004635,0.004378,0.005266
143,2021,Sariyer,151.3,14627,349968,335298,347214,162,160,146,0.0004629,0.00047719,0.00042049,2313,2216,2295,0.04629,0.047719,0.042049
