#,Year,District,Area (sqkm),Rent,Population (t),Population (t-1),Population (t-2),Airbnb (t),Airbnb (t-1),Airbnb (t-2),AirDen (t),AirDen (t-1),AirDen (t-2),PopDen (t),PopDen (t-1),PopDen (t-2)
84,2020,Bahcelievler,16.62,"1,817","592,371","611,059","594,053",68,80,47,0.000115,0.000131,0.000079,"35,642","36,766","35,743"
85,2020,Bakirkoy,29.64,"3,934","226,229","229,239","222,667",113,121,57,0.000499,0.000528,0.000256,"7,633","7,734","7,512"
86,2020,Basaksehir,104.3,"2,765","469,924","460,259","427,835",216,197,74,0.000460,0.000428,0.000173,"4,506","4,413","4,102"
87,2020,Bayrampasa,9.61,"1,851","269,950","274,735","271,073",7,8,5,0.000026,0.000029,0.000018,"28,091","28,588","28,207"
88,2020,Besiktas,18.01,"4,712","176,513","182,649","181,074",733,767,520,0.004153,0.004199,0.002872,"9,801","10,142","10,054"
89,2020,Beykoz,310.36,"2,513","246,110","248,260","246,700",52,50,35,0.000211,0.000201,0.000142,793,800,795
90,2020,Beylikduzu,37.78,"2,486","365,564","352,412","331,525",74,62,27,0.000202,0.000176,0.000081,"9,676","9,328","8,775"
91,2020,Beyoglu,8.91,"2,870","226,396","233,323","230,526","4,010",3678,2267,0.017712,0.015764,0.009834,"25,409","26,187","25,873"
92,2020,Buyukcekmece,157.72,"2,274","257,362","254,103","247,736",68,75,64,0.000264,0.000295,0.000258,"1,632","1,611","1,571"
93,2020,Catalca,1040.38,"1,207","74,975","73,718","72,966",15,9,5,0.000200,0.000122,0.000069,72,71,70
94,2020,Cekmekoy,148.16,"1,398","273,658","264,508","251,937",22,17,17,0.000080,0.000064,0.000067,"1,847","1,785","1,700"
95,2020,Esenler,18.43,"1,582","446,276","450,344","444,561",5,7,9,0.000011,0.000016,0.000020,"24,215","24,435","24,122"
96,2020,Esenyurt,43.13,"1,812","957,398","954,579","891,120",482,342,191,0.000503,0.000358,0.000214,"22,198","22,133","20,661"
97,2020,Eyupsultan,228.42,"2,266","405,845","400,513","383,909",112,99,46,0.000276,0.000247,0.000120,"1,777","1,753","1,681"
98,2020,Fatih,15.59,"2,009","396,584","443,090","436,539","1,184",1117,729,0.002985,0.002521,0.001670,"25,438","28,421","28,001"
99,2020,Gaziosmanpasa,11.76,"1,687","487,778","491,962","487,046",49,41,30,0.000100,0.000083,0.000062,"41,478","41,834","41,415"
100,2020,Gungoren,7.21,"1,886","280,299","289,441","289,331",22,24,21,0.000078,0.000083,0.000073,"38,876","40,144","40,129"
101,2020,Kadikoy,25.09,"3,596","481,983","482,713","458,638",826,815,541,0.001714,0.001688,0.001180,"19,210","19,239","18,280"
102,2020,Kagithane,14.87,"1,879","442,415","448,025","437,026",262,205,109,0.000592,0.000458,0.000249,"29,752","30,129","29,390"
103,2020,Kartal,38.54,"1,655","474,514","470,676","461,155",81,89,38,0.000171,0.000189,0.000082,"12,312","12,213","11,966"
104,2020,Kucukcekmece,37.54,"2,066","789,632","792,820","770,316",83,73,44,0.000105,0.000092,0.000057,"21,034","21,119","20,520"
105,2020,Maltepe,52.97,"1,941","515,021","513,316","497,034",130,137,86,0.000252,0.000267,0.000173,"9,723","9,691","9,383"
106,2020,Pendik,179.99,"1,519","726,481","711,894","693,599",83,64,46,0.000114,0.000090,0.000066,"4,036","3,955","3,854"
107,2020,Sancaktepe,62.42,"1,621","456,861","436,733","414,143",20,23,10,0.000044,0.000053,0.000024,"7,319","6,997","6,635"
108,2020,Sariyer,151.3,"5,533","335,298","347,214","342,503",160,146,105,0.000477,0.000420,0.000307,"2,216","2,295","2,264"
109,2020,Sile,781.72,"1,901","37,904","37,692","36,516",111,70,30,0.002928,0.001857,0.000822,48,48,47
110,2020,Silivri,869.52,"1,335","200,215","193,680","187,621",29,34,19,0.000145,0.000176,0.000101,230,223,216
111,2020,Sisli,34.8,"2,608","266,793","279,817","274,289",1921,1536,935,0.007200,0.005489,0.003409,"7,666","8,041","7,882"
112,2020,Sultanbeyli,29.1,"1,434","343,318","336,021","327,798",11,9,7,0.000032,0.000027,0.000021,"11,798","11,547","11,265"
113,2020,Sultangazi,36.3,"1,416","537,488","534,565","523,765",9,6,6,0.000017,0.000011,0.000011,"14,807","14,726","14,429"
114,2020,Tuzla,123.63,"1,520","273,608","267,396","255,459",52,38,22,0.000190,0.000142,0.000086,"2,213","2,163","2,066"
115,2020,Umraniye,45.31,"1,670","713,803","710,280","690,193",101,89,33,0.000141,0.000125,0.000048,"15,754","15,676","15,233"
116,2020,Uskudar,35.33,"1,971","520,771","531,825","529,145",199,219,163,0.000382,0.000412,0.000308,"14,740","15,053","14,977"
117,2020,Zeytinburnu,11.59,"2,195","283,657","293,574","284,935",64,53,34,0.000226,0.000181,0.000119,"24,474","25,330","24,585"
118,2021,Adalar,11.05,N/A,"16,372","16,033","15,238",162,116,109,0.009895,0.007235,0.007153,"1,482","1,451","1,379"
119,2021,Arnavutkoy,506.55,"2,044","312,023","296,709","282,488",40,33,21,0.000128,0.000111,0.000074,616,586,558
120,2021,Atasehir,25.2,"4,973","427,217","422,594","425,094",197,194,174,0.000461,0.000459,0.000409,"16,953","16,770","16,869"
121,2021,Avcilar,42.01,"4,150","457,981","436,897","448,882",126,123,95,0.000275,0.000282,0.000212,"10,902","10,400","10,685"
122,2021,Bagcilar,22.36,"3,279","744,351","737,206","745,125",258,156,78,0.000347,0.000212,0.000105,"33,289","32,970","33,324"
123,2021,Bahcelievler,16.62,"3,342","605,300","592,371","611,059",119,68,80,0.000197,0.000115,0.000131,"36,420","35,642","36,766"
124,2021,Bakirkoy,29.64,"7,446","228,759","226,229","229,239",129,113,121,0.000564,0.000499,0.000528,"7,718","7,633","7,734"
